sample.id	exp	Type
GO43_Sample_1	3.77801694659445	chr21amp_MPNAML
GO43_Sample_2	3.48697870858858	chr21amp_MPNAML
GO43_Sample_3	1.83314704437606	non_chr21amp_MPNAML
GO43_Sample_5	0	non_chr21amp_MPNAML
GO43_Sample_6	0.0842609709385047	HC
GO43_Sample_7	0.170355845144284	HC
GO44_Sample_8	2.80284730616368	HC
GO44_Sample_9	4.11020739607926	chr21amp_MPNAML
GO44_Sample_10	3.42830464839194	chr21amp_MPNAML
GO44_Sample_11	1.47850605885701	chr21amp_MPNAML
GO44_Sample_12	0.631103738861852	non_chr21amp_MPNAML
GO44_Sample_13	0	non_chr21amp_MPNAML
GO44_Sample_14	0.912380395782605	HC
GO44_Sample_156	2.68735777062717	HC
